judge,dataset,group,variant,kind,n,signed_delta,ci_lo,ci_hi,mean_abs_delta
phyjudge_9b,implausibench_real,laws13,freeze,temporal,150,-0.05589743589743589,-0.0876923076923077,-0.025115384615384668,0.12051282051282049
phyjudge_9b,implausibench_real,laws13,photometric,superficial,150,0.010256410256410253,-0.022564102564102576,0.04358974358974357,0.10871794871794874
phyjudge_9b,implausibench_real,laws13,caption_echo_rubric_vocab,superficial,150,0.10256410256410256,0.05538461538461538,0.1528205128205128,0.20307692307692304
phyjudge_9b,implausibench_real,laws13,caption_echo_score_anchor_positive,superficial,150,0.1805128205128205,0.12769230769230766,0.23693589743589738,0.23897435897435892
phyjudge_9b,implausibench_real,laws13,caption_echo_authoritative_claim,superficial,150,0.17897435897435895,0.12819230769230766,0.23384615384615387,0.26205128205128203
phyjudge_9b,implausibench_real,laws13,caption_echo_score_anchor_negative,superficial,150,-0.3046153846153846,-0.3579487179487179,-0.25383333333333347,0.31179487179487175
phyjudge_9b,implausibench_real,laws13,caption_echo_control_irrelevant,superficial,150,0.08410256410256411,0.04923076923076923,0.12153846153846155,0.14871794871794872
phyjudge_9b,implausibench_implausible,SA,shuffle,temporal,150,0.0,-0.09333333333333334,0.09333333333333334,0.32
phyjudge_9b,implausibench_implausible,SA,reverse,temporal,150,0.20666666666666667,0.08666666666666667,0.32666666666666666,0.5133333333333333
phyjudge_9b,implausibench_implausible,SA,freeze,temporal,150,0.0,-0.08,0.07333333333333333,0.22666666666666666
phyjudge_9b,implausibench_implausible,SA,photometric,superficial,150,0.013333333333333334,-0.05349999999999999,0.08016666666666576,0.2
phyjudge_9b,implausibench_implausible,SA,caption_echo_rubric_vocab,superficial,150,0.26,0.15333333333333332,0.36666666666666664,0.4866666666666667
phyjudge_9b,implausibench_implausible,SA,caption_echo_score_anchor_positive,superficial,150,0.16,0.06,0.26666666666666666,0.38666666666666666
phyjudge_9b,implausibench_implausible,SA,caption_echo_authoritative_claim,superficial,150,0.37333333333333335,0.25333333333333335,0.4866666666666667,0.56
phyjudge_9b,implausibench_implausible,SA,caption_echo_score_anchor_negative,superficial,150,-0.30666666666666664,-0.41333333333333333,-0.20666666666666667,0.44
phyjudge_9b,implausibench_implausible,SA,caption_echo_control_irrelevant,superficial,150,0.06666666666666667,-0.013333333333333334,0.14666666666666667,0.24
phyjudge_9b,implausibench_implausible,PTV,shuffle,temporal,150,-0.14,-0.25333333333333335,-0.013333333333333334,0.4866666666666667
phyjudge_9b,implausibench_implausible,PTV,reverse,temporal,150,0.1,-0.03333333333333333,0.23333333333333334,0.54
phyjudge_9b,implausibench_implausible,PTV,freeze,temporal,150,-0.13333333333333333,-0.24,-0.03316666666666757,0.38666666666666666
phyjudge_9b,implausibench_implausible,PTV,photometric,superficial,150,-0.05333333333333334,-0.13333333333333333,0.02666666666666667,0.22666666666666666
phyjudge_9b,implausibench_implausible,PTV,caption_echo_rubric_vocab,superficial,150,0.06,-0.04666666666666667,0.16666666666666666,0.3933333333333333
phyjudge_9b,implausibench_implausible,PTV,caption_echo_score_anchor_positive,superficial,150,0.08,-0.013499999999999991,0.18,0.36
phyjudge_9b,implausibench_implausible,PTV,caption_echo_authoritative_claim,superficial,150,0.16,0.05333333333333334,0.2733333333333333,0.44
phyjudge_9b,implausibench_implausible,PTV,caption_echo_score_anchor_negative,superficial,150,-0.4066666666666667,-0.5133333333333333,-0.3,0.5266666666666666
phyjudge_9b,implausibench_implausible,PTV,caption_echo_control_irrelevant,superficial,150,0.06,-0.02666666666666667,0.15333333333333332,0.2733333333333333
phyjudge_9b,implausibench_implausible,laws13,shuffle,temporal,150,-0.0917948717948718,-0.18,0.0,0.37897435897435894
phyjudge_9b,implausibench_implausible,laws13,reverse,temporal,150,0.11230769230769233,0.011782051282051297,0.22256410256410258,0.4261538461538461
phyjudge_9b,implausibench_implausible,laws13,freeze,temporal,150,-0.09384615384615383,-0.16053846153846152,-0.028705128205128255,0.2456410256410256
phyjudge_9b,implausibench_implausible,laws13,photometric,superficial,150,-0.051794871794871786,-0.1051282051282051,-0.0030641025641026144,0.18717948717948718
phyjudge_9b,implausibench_implausible,laws13,caption_echo_rubric_vocab,superficial,150,0.03384615384615383,-0.036923076923076927,0.10820512820512818,0.3056410256410256
phyjudge_9b,implausibench_implausible,laws13,caption_echo_score_anchor_positive,superficial,150,0.008717948717948723,-0.06411538461538462,0.08461538461538459,0.3030769230769231
phyjudge_9b,implausibench_implausible,laws13,caption_echo_authoritative_claim,superficial,150,0.10974358974358973,0.0399871794871795,0.17949999999999994,0.3046153846153846
